Model_name,BIC_HC,LBF_HC,PXP_HC,BIC_BPD,LBF_BPD,PXP_BPD
Fehr-Schmidt-pos-neg,3800.87210453443,-5141.71739316993,0.0402390000001681,3741.52852173598,-3008.26402644341,0.000134095567131221
ERC,7556.44182189381,-1386.14767581055,2.63551767457608e-13,5633.62094160836,-1116.17160657104,5.09567821863139e-06
Fehr-Schmidt,3566.73420118295,-5375.85529652141,0.0446660000001576,3461.58010094713,-3288.21244723227,0.171313948156721
Inequality & Joint-gain,4039.3523105664,-4903.23718713795,0.914939999998093,4193.54088779607,-2556.25166038333,0.827033383488217
Inequality,7013.33959161221,-1929.24990609214,0.000154000000263186,5903.34634349121,-846.44620468819,0.00122609462676337
Joint-gain,7315.73129288429,-1626.85820482006,2.63551767457608e-13,5751.10642544219,-998.686122737206,2.30956627180624e-05
Altruism,8942.58949770435,0,2.63551767457608e-13,6749.7925481794,0,3.09567994091683e-06
Prosocial,6997.23375199183,-1945.35574571252,2.63551767457608e-13,5125.81585458503,-1623.97669359437,2.09568080205954e-06
Individualism,7831.26079156696,-1111.3287061374,1.0000002635494e-06,5708.32505641195,-1041.46749176745,0.000259095459488381
