meanFair,sdFair,semFair,offers,group
1.38,1.36859826994257,0.193549023479314,0,HC
1.78,1.23371018327909,0.174472967323109,1,HC
2.52,0.994679724887383,0.140668955715328,2,HC
3.74,1.58835044711712,0.22462667441144,3,HC
5.56,2.17743530094373,0.307935853378457,4,HC
8.28,1.75010203784155,0.247501803745231,5,HC
5.58,2.01109169256858,0.284411314680635,6,HC
4.06,1.59604102039249,0.225714285714286,7,HC
3.02,1.53183896420116,0.216634743854484,8,HC
2.34,1.7333464154399,0.24513220090059,9,HC
1.7,1.63195137982798,0.230792777448622,10,HC
1.34285714285714,1.36859826994257,0.23133533017121,0,BPD
1.31428571428571,1.23371018327909,0.208535082100045,1,BPD
2,0.994679724887383,0.168131560316152,2,BPD
3.02857142857143,1.58835044711712,0.268480227676195,3,BPD
5.2,2.17743530094373,0.368053741797732,4,BPD
8.77142857142857,1.75010203784155,0.295821236698167,5,BPD
5.91428571428571,2.01109169256858,0.339936540124702,6,BPD
3.74285714285714,1.59604102039249,0.269780171821192,7,BPD
3.57142857142857,1.53183896420116,0.258928043630708,8,BPD
2.54285714285714,1.7333464154399,0.292989019585492,9,BPD
2.25714285714286,1.63195137982798,0.275850130434338,10,BPD
