meanRejections,sdRejections,semRejections,offers,group
79.5918367346939,40.7205508963978,5.81722155662825,1,HC
67.3469387755102,47.3803541479343,6.76862202113347,2,HC
55.1020408163265,50.2544545695367,7.1792077956481,3,HC
26.530612244898,44.6071285599886,6.37244693714122,4,HC
4.08163265306122,19.9914947901746,2.8559278271678,5,HC
10.2040816326531,30.5838870920598,4.36912672743712,6,HC
68.5714285714286,47.1008215953606,7.96149195450555,1,BPD
74.2857142857143,44.343957363116,7.49549684738749,2,BPD
48.5714285714286,50.709255283711,8.57142857142857,3,BPD
17.1428571428571,38.2385260431097,6.46349059597627,4,BPD
2.85714285714286,16.9030850945703,2.85714285714286,5,BPD
5.71428571428571,23.5504107976803,3.98074597725278,6,BPD
